cement,blast,flyash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
54.0,0.0,0.0,16.2,2.5,104.0,67.6,28,79.99
54.0,0.0,0.0,16.2,2.5,105.5,67.6,28,61.89
33.25,142.5,0.0,22.8,0.0,93.2,59.4,270,40.27
33.25,142.5,0.0,22.8,0.0,93.2,59.4,365,41.05
19.86,132.4,0.0,19.2,0.0,97.84,82.55,360,44.3
26.6,114.0,0.0,22.8,0.0,93.2,67.0,90,47.03
38.0,95.0,0.0,22.8,0.0,93.2,59.4,365,43.7
38.0,95.0,0.0,22.8,0.0,93.2,59.4,28,36.45
26.6,114.0,0.0,22.8,0.0,93.2,67.0,28,45.85
47.5,0.0,0.0,22.8,0.0,93.2,59.4,28,39.29
19.86,132.4,0.0,19.2,0.0,97.84,82.55,90,38.07
19.86,132.4,0.0,19.2,0.0,97.84,82.55,28,28.02
42.75,47.5,0.0,22.8,0.0,93.2,59.4,270,43.01
19.0,190.0,0.0,22.8,0.0,93.2,67.0,90,42.33
30.4,76.0,0.0,22.8,0.0,93.2,67.0,28,47.81
38.0,0.0,0.0,22.8,0.0,93.2,67.0,90,52.91
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,90,39.36
34.2,38.0,0.0,22.8,0.0,93.2,67.0,365,56.14
38.0,95.0,0.0,22.8,0.0,93.2,59.4,90,40.56
47.5,0.0,0.0,22.8,0.0,93.2,59.4,180,42.62
42.75,47.5,0.0,22.8,0.0,93.2,59.4,180,41.84
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,28,28.24
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,3,8.06
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,180,44.21
38.0,0.0,0.0,22.8,0.0,93.2,67.0,365,52.52
38.0,0.0,0.0,22.8,0.0,93.2,67.0,270,53.3
38.0,95.0,0.0,22.8,0.0,93.2,59.4,270,41.15
34.2,38.0,0.0,22.8,0.0,93.2,67.0,180,52.12
42.75,47.5,0.0,22.8,0.0,93.2,59.4,28,37.43
47.5,0.0,0.0,22.8,0.0,93.2,59.4,7,38.6
30.4,76.0,0.0,22.8,0.0,93.2,67.0,365,55.26
26.6,114.0,0.0,22.8,0.0,93.2,67.0,365,52.91
19.86,132.4,0.0,19.2,0.0,97.84,82.55,180,41.72
47.5,0.0,0.0,22.8,0.0,93.2,59.4,270,42.13
19.0,190.0,0.0,22.8,0.0,93.2,67.0,365,53.69
23.75,237.5,0.0,22.8,0.0,93.2,59.4,270,38.41
23.75,237.5,0.0,22.8,0.0,93.2,59.4,28,30.08
33.25,142.5,0.0,22.8,0.0,93.2,59.4,90,37.72
47.5,0.0,0.0,22.8,0.0,93.2,59.4,90,42.23
23.75,237.5,0.0,22.8,0.0,93.2,59.4,180,36.25
34.2,38.0,0.0,22.8,0.0,93.2,67.0,90,50.46
42.75,47.5,0.0,22.8,0.0,93.2,59.4,365,43.7
23.75,237.5,0.0,22.8,0.0,93.2,59.4,365,39.0
38.0,0.0,0.0,22.8,0.0,93.2,67.0,180,53.1
42.75,47.5,0.0,22.8,0.0,93.2,59.4,90,41.54
42.75,47.5,0.0,22.8,0.0,93.2,59.4,7,35.08
34.9,0.0,0.0,19.2,0.0,104.7,80.69,3,15.05
38.0,95.0,0.0,22.8,0.0,93.2,59.4,180,40.76
23.75,237.5,0.0,22.8,0.0,93.2,59.4,7,26.26
38.0,95.0,0.0,22.8,0.0,93.2,59.4,7,32.82
33.25,142.5,0.0,22.8,0.0,93.2,59.4,180,39.78
19.0,190.0,0.0,22.8,0.0,93.2,67.0,180,46.93
23.75,237.5,0.0,22.8,0.0,93.2,59.4,90,33.12
30.4,76.0,0.0,22.8,0.0,93.2,67.0,90,49.19
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,7,14.59
19.86,132.4,0.0,19.2,0.0,97.84,82.55,7,14.64
47.5,0.0,0.0,22.8,0.0,93.2,59.4,365,41.93
19.86,132.4,0.0,19.2,0.0,97.84,82.55,3,9.13
30.4,76.0,0.0,22.8,0.0,93.2,67.0,180,50.95
33.25,142.5,0.0,22.8,0.0,93.2,59.4,28,33.02
30.4,76.0,0.0,22.8,0.0,93.2,67.0,270,54.38
26.6,114.0,0.0,22.8,0.0,93.2,67.0,270,51.73
31.0,0.0,0.0,19.2,0.0,97.1,85.06,3,9.87
19.0,190.0,0.0,22.8,0.0,93.2,67.0,270,50.66
26.6,114.0,0.0,22.8,0.0,93.2,67.0,180,48.7
34.2,38.0,0.0,22.8,0.0,93.2,67.0,270,55.06
13.959999999999999,209.4,0.0,19.2,0.0,104.7,80.69,360,44.7
33.25,142.5,0.0,22.8,0.0,93.2,59.4,7,30.28
19.0,190.0,0.0,22.8,0.0,93.2,67.0,28,40.86
48.5,0.0,0.0,14.6,0.0,112.0,80.0,28,71.99
37.4,189.2,0.0,17.009999999999998,10.1,92.61,75.67,3,34.4
31.330000000000002,262.2,0.0,17.55,8.6,104.69000000000001,61.17999999999999,3,28.8
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,3,33.4
42.5,106.3,0.0,15.14,18.6,93.6,80.37,3,36.3
37.5,93.8,0.0,12.66,23.4,85.21000000000001,99.26,3,29.0
47.5,118.8,0.0,18.11,8.9,85.21000000000001,78.15,3,37.8
46.9,117.2,0.0,13.780000000000001,32.2,85.21000000000001,84.05,3,40.2
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,3,33.4
38.86,97.1,0.0,15.790000000000001,12.1,85.21000000000001,92.57000000000001,3,28.1
53.129999999999995,0.0,0.0,14.180000000000001,28.2,85.21000000000001,89.37,3,41.3
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,3,33.4
31.880000000000003,212.5,0.0,15.569999999999999,14.3,85.21000000000001,88.03999999999999,3,25.2
40.18,94.7,0.0,14.74,11.4,94.67999999999999,85.21000000000001,3,41.1
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,3,35.3
32.37,282.8,0.0,18.380000000000003,10.3,94.27000000000001,65.99,3,28.3
37.95,151.2,0.0,15.39,15.9,113.42999999999999,60.5,3,28.6
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,3,35.3
28.630000000000003,200.9,0.0,14.469999999999999,11.2,100.46000000000001,80.37,3,24.4
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,3,35.3
43.9,177.0,0.0,18.6,11.1,88.49,70.78999999999999,3,39.3
38.989999999999995,189.0,0.0,14.59,22.0,94.47,75.58,3,40.6
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,3,35.3
33.79,189.0,0.0,17.490000000000002,9.5,94.47,75.58,3,24.1
37.4,189.2,0.0,17.009999999999998,10.1,92.61,75.67,7,46.2
31.330000000000002,262.2,0.0,17.55,8.6,104.69000000000001,61.17999999999999,7,42.8
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,7,49.2
42.5,106.3,0.0,15.14,18.6,93.6,80.37,7,46.8
37.5,93.8,0.0,12.66,23.4,85.21000000000001,99.26,7,45.7
47.5,118.8,0.0,18.11,8.9,85.21000000000001,78.15,7,55.6
46.9,117.2,0.0,13.780000000000001,32.2,85.21000000000001,84.05,7,54.9
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,7,49.2
38.86,97.1,0.0,15.790000000000001,12.1,85.21000000000001,92.57000000000001,7,34.9
53.129999999999995,0.0,0.0,14.180000000000001,28.2,85.21000000000001,89.37,7,46.9
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,7,49.2
31.880000000000003,212.5,0.0,15.569999999999999,14.3,85.21000000000001,88.03999999999999,7,33.4
40.18,94.7,0.0,14.74,11.4,94.67999999999999,85.21000000000001,7,54.1
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,7,55.9
32.37,282.8,0.0,18.380000000000003,10.3,94.27000000000001,65.99,7,49.8
37.95,151.2,0.0,15.39,15.9,113.42999999999999,60.5,7,47.1
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,7,55.9
28.630000000000003,200.9,0.0,14.469999999999999,11.2,100.46000000000001,80.37,7,38.0
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,7,55.9
43.9,177.0,0.0,18.6,11.1,88.49,70.78999999999999,7,56.1
38.989999999999995,189.0,0.0,14.59,22.0,94.47,75.58,7,59.09
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,7,22.9
33.79,189.0,0.0,17.490000000000002,9.5,94.47,75.58,7,35.1
37.4,189.2,0.0,17.009999999999998,10.1,92.61,75.67,28,61.09
31.330000000000002,262.2,0.0,17.55,8.6,104.69000000000001,61.17999999999999,28,59.8
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,28,60.29
42.5,106.3,0.0,15.14,18.6,93.6,80.37,28,61.8
37.5,93.8,0.0,12.66,23.4,85.21000000000001,99.26,28,56.7
47.5,118.8,0.0,18.11,8.9,85.21000000000001,78.15,28,68.3
46.9,117.2,0.0,13.780000000000001,32.2,85.21000000000001,84.05,28,66.9
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,28,60.29
38.86,97.1,0.0,15.790000000000001,12.1,85.21000000000001,92.57000000000001,28,50.7
53.129999999999995,0.0,0.0,14.180000000000001,28.2,85.21000000000001,89.37,28,56.4
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,28,60.29
31.880000000000003,212.5,0.0,15.569999999999999,14.3,85.21000000000001,88.03999999999999,28,55.5
40.18,94.7,0.0,14.74,11.4,94.67999999999999,85.21000000000001,28,68.5
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,28,71.3
32.37,282.8,0.0,18.380000000000003,10.3,94.27000000000001,65.99,28,74.7
37.95,151.2,0.0,15.39,15.9,113.42999999999999,60.5,28,52.2
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,28,71.3
28.630000000000003,200.9,0.0,14.469999999999999,11.2,100.46000000000001,80.37,28,67.7
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,28,71.3
43.9,177.0,0.0,18.6,11.1,88.49,70.78999999999999,28,66.0
38.989999999999995,189.0,0.0,14.59,22.0,94.47,75.58,28,74.5
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,28,71.3
33.79,189.0,0.0,17.490000000000002,9.5,94.47,75.58,28,49.9
37.4,189.2,0.0,17.009999999999998,10.1,92.61,75.67,56,63.4
31.330000000000002,262.2,0.0,17.55,8.6,104.69000000000001,61.17999999999999,56,64.9
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,56,64.3
42.5,106.3,0.0,15.14,18.6,93.6,80.37,56,64.9
37.5,93.8,0.0,12.66,23.4,85.21000000000001,99.26,56,60.2
47.5,118.8,0.0,18.11,8.9,85.21000000000001,78.15,56,72.3
46.9,117.2,0.0,13.780000000000001,32.2,85.21000000000001,84.05,56,69.3
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,56,64.3
38.86,97.1,0.0,15.790000000000001,12.1,85.21000000000001,92.57000000000001,56,55.2
53.129999999999995,0.0,0.0,14.180000000000001,28.2,85.21000000000001,89.37,56,58.8
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,56,64.3
31.880000000000003,212.5,0.0,15.569999999999999,14.3,85.21000000000001,88.03999999999999,56,66.1
40.18,94.7,0.0,14.74,11.4,94.67999999999999,85.21000000000001,56,73.7
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,56,77.3
32.37,282.8,0.0,18.380000000000003,10.3,94.27000000000001,65.99,56,80.2
37.95,151.2,0.0,15.39,15.9,113.42999999999999,60.5,56,54.9
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,56,77.3
28.630000000000003,200.9,0.0,14.469999999999999,11.2,100.46000000000001,80.37,56,72.99
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,56,77.3
43.9,177.0,0.0,18.6,11.1,88.49,70.78999999999999,56,71.7
38.989999999999995,189.0,0.0,14.59,22.0,94.47,75.58,56,79.4
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,56,77.3
33.79,189.0,0.0,17.490000000000002,9.5,94.47,75.58,56,59.89
37.4,189.2,0.0,17.009999999999998,10.1,92.61,75.67,91,64.9
31.330000000000002,262.2,0.0,17.55,8.6,104.69000000000001,61.17999999999999,91,66.6
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,91,65.2
42.5,106.3,0.0,15.14,18.6,93.6,80.37,91,66.7
37.5,93.8,0.0,12.66,23.4,85.21000000000001,99.26,91,62.5
47.5,118.8,0.0,18.11,8.9,85.21000000000001,78.15,91,74.19
46.9,117.2,0.0,13.780000000000001,32.2,85.21000000000001,84.05,91,70.7
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,91,65.2
38.86,97.1,0.0,15.790000000000001,12.1,85.21000000000001,92.57000000000001,91,57.6
53.129999999999995,0.0,0.0,14.180000000000001,28.2,85.21000000000001,89.37,91,59.2
42.5,106.3,0.0,15.35,16.5,85.21000000000001,88.71000000000001,91,65.2
31.880000000000003,212.5,0.0,15.569999999999999,14.3,85.21000000000001,88.03999999999999,91,68.1
40.18,94.7,0.0,14.74,11.4,94.67999999999999,85.21000000000001,91,75.5
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,91,79.3
37.95,151.2,0.0,15.39,15.9,113.42999999999999,60.5,91,56.5
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,91,79.3
28.630000000000003,200.9,0.0,14.469999999999999,11.2,100.46000000000001,80.37,91,76.8
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,91,79.3
43.9,177.0,0.0,18.6,11.1,88.49,70.78999999999999,91,73.3
38.989999999999995,189.0,0.0,14.59,22.0,94.47,75.58,91,82.6
36.260000000000005,189.0,0.0,16.490000000000002,11.6,94.47,75.58,91,79.3
33.79,189.0,0.0,17.490000000000002,9.5,94.47,75.58,91,67.8
22.240000000000002,0.0,96.7,18.93,4.5,96.71000000000001,87.03,3,11.58
22.240000000000002,0.0,96.7,18.93,4.5,96.71000000000001,87.03,14,24.45
22.240000000000002,0.0,96.7,18.93,4.5,96.71000000000001,87.03,28,24.89
22.240000000000002,0.0,96.7,18.93,4.5,96.71000000000001,87.03,56,29.45
22.240000000000002,0.0,96.7,18.93,4.5,96.71000000000001,87.03,100,40.71
23.380000000000003,0.0,94.6,19.79,4.6,94.7,85.22,3,10.38
23.380000000000003,0.0,94.6,19.79,4.6,94.7,85.22,14,22.14
23.380000000000003,0.0,94.6,19.79,4.6,94.7,85.22,28,22.84
23.380000000000003,0.0,94.6,19.79,4.6,94.7,85.22,56,27.66
23.380000000000003,0.0,94.6,19.79,4.6,94.7,85.22,100,34.56
19.47,0.0,100.5,16.56,7.5,100.64,90.59,3,12.45
19.47,0.0,100.5,16.56,7.5,100.64,90.59,14,24.99
19.47,0.0,100.5,16.56,7.5,100.64,90.59,28,25.72
19.47,0.0,100.5,16.56,7.5,100.64,90.59,56,33.96
19.47,0.0,100.5,16.56,7.5,100.64,90.59,100,37.34
19.07,0.0,125.4,16.21,7.8,109.0,80.4,3,15.04
19.07,0.0,125.4,16.21,7.8,109.0,80.4,14,21.06
19.07,0.0,125.4,16.21,7.8,109.0,80.4,28,26.4
19.07,0.0,125.4,16.21,7.8,109.0,80.4,56,35.34
19.07,0.0,125.4,16.21,7.8,109.0,80.4,100,40.57
21.21,0.0,121.6,18.03,5.7,105.75999999999999,77.92999999999999,3,12.47
21.21,0.0,121.6,18.03,5.7,105.75999999999999,77.92999999999999,14,20.92
21.21,0.0,121.6,18.03,5.7,105.75999999999999,77.92999999999999,28,24.9
21.21,0.0,121.6,18.03,5.7,105.75999999999999,77.92999999999999,56,34.2
21.21,0.0,121.6,18.03,5.7,105.75999999999999,77.92999999999999,100,39.61
23.0,0.0,118.3,19.55,4.6,102.94000000000001,75.86,3,10.03
23.0,0.0,118.3,19.55,4.6,102.94000000000001,75.86,14,20.08
23.0,0.0,118.3,19.55,4.6,102.94000000000001,75.86,28,24.48
23.0,0.0,118.3,19.55,4.6,102.94000000000001,75.86,56,31.54
23.0,0.0,118.3,19.55,4.6,102.94000000000001,75.86,100,35.34
19.03,0.0,125.2,16.19,9.9,108.80999999999999,80.26,3,9.45
19.03,0.0,125.2,16.19,9.9,108.80999999999999,80.26,14,22.72
19.03,0.0,125.2,16.19,9.9,108.80999999999999,80.26,28,28.47
19.03,0.0,125.2,16.19,9.9,108.80999999999999,80.26,56,38.56
19.03,0.0,125.2,16.19,9.9,108.80999999999999,80.26,100,40.39
16.61,0.0,163.3,17.65,4.5,105.85999999999999,78.01,3,10.76
16.61,0.0,163.3,17.65,4.5,105.85999999999999,78.01,14,25.48
16.61,0.0,163.3,17.65,4.5,105.85999999999999,78.01,28,21.54
16.61,0.0,163.3,17.65,4.5,105.85999999999999,78.01,56,28.63
16.61,0.0,163.3,17.65,4.5,105.85999999999999,78.01,100,33.54
16.8,42.1,163.8,12.18,5.7,105.87,78.01,3,7.75
16.8,42.1,163.8,12.18,5.7,105.87,78.01,14,17.82
16.8,42.1,163.8,12.18,5.7,105.87,78.01,28,24.24
16.8,42.1,163.8,12.18,5.7,105.87,78.01,56,32.85
16.8,42.1,163.8,12.18,5.7,105.87,78.01,100,39.23
21.369999999999997,98.1,24.5,18.169999999999998,6.9,106.58,78.53999999999999,3,18.0
21.369999999999997,98.1,24.5,18.169999999999998,6.9,106.58,78.53999999999999,14,30.39
21.369999999999997,98.1,24.5,18.169999999999998,6.9,106.58,78.53999999999999,28,45.71
21.369999999999997,98.1,24.5,18.169999999999998,6.9,106.58,78.53999999999999,56,50.77
21.369999999999997,98.1,24.5,18.169999999999998,6.9,106.58,78.53999999999999,100,53.9
21.380000000000003,98.1,24.5,18.169999999999998,6.7,106.6,78.55,3,13.18
21.380000000000003,98.1,24.5,18.169999999999998,6.7,106.6,78.55,14,17.84
21.380000000000003,98.1,24.5,18.169999999999998,6.7,106.6,78.55,28,40.23
21.380000000000003,98.1,24.5,18.169999999999998,6.7,106.6,78.55,56,47.13
21.380000000000003,98.1,24.5,18.169999999999998,6.7,106.6,78.55,100,49.97
22.97,0.0,118.2,19.52,6.1,102.80999999999999,75.76,3,13.36
22.97,0.0,118.2,19.52,6.1,102.80999999999999,75.76,14,22.32
22.97,0.0,118.2,19.52,6.1,102.80999999999999,75.76,28,24.54
22.97,0.0,118.2,19.52,6.1,102.80999999999999,75.76,56,31.35
22.97,0.0,118.2,19.52,6.1,102.80999999999999,75.76,100,40.86
23.81,0.0,94.1,18.669999999999998,7.0,94.99,84.7,3,19.93
23.81,0.0,94.1,18.669999999999998,7.0,94.99,84.7,14,25.69
23.81,0.0,94.1,18.669999999999998,7.0,94.99,84.7,28,30.23
23.81,0.0,94.1,18.669999999999998,7.0,94.99,84.7,56,39.59
23.81,0.0,94.1,18.669999999999998,7.0,94.99,84.7,100,44.3
25.0,0.0,95.7,18.740000000000002,5.5,95.69,86.12,3,13.82
25.0,0.0,95.7,18.740000000000002,5.5,95.69,86.12,14,24.92
25.0,0.0,95.7,18.740000000000002,5.5,95.69,86.12,28,29.22
25.0,0.0,95.7,18.740000000000002,5.5,95.69,86.12,56,38.33
25.0,0.0,95.7,18.740000000000002,5.5,95.69,86.12,100,42.35
21.25,0.0,100.4,15.930000000000001,8.7,100.78,90.36,3,13.54
21.25,0.0,100.4,15.930000000000001,8.7,100.78,90.36,14,26.31
21.25,0.0,100.4,15.930000000000001,8.7,100.78,90.36,28,31.64
21.25,0.0,100.4,15.930000000000001,8.7,100.78,90.36,56,42.55
21.25,0.0,100.4,15.930000000000001,8.7,100.78,90.36,100,42.92
21.259999999999998,0.0,100.4,15.940000000000001,10.4,100.38,90.38,3,13.33
21.259999999999998,0.0,100.4,15.940000000000001,10.4,100.38,90.38,14,25.37
21.259999999999998,0.0,100.4,15.940000000000001,10.4,100.38,90.38,28,37.4
21.259999999999998,0.0,100.4,15.940000000000001,10.4,100.38,90.38,56,44.4
21.259999999999998,0.0,100.4,15.940000000000001,10.4,100.38,90.38,100,47.74
21.2,0.0,124.8,15.9,7.8,108.54,79.95,3,19.52
21.2,0.0,124.8,15.9,7.8,108.54,79.95,14,31.35
21.2,0.0,124.8,15.9,7.8,108.54,79.95,28,38.5
21.2,0.0,124.8,15.9,7.8,108.54,79.95,56,45.08
21.2,0.0,124.8,15.9,7.8,108.54,79.95,100,47.82
23.18,0.0,121.6,17.4,6.7,105.64000000000001,77.85,3,15.44
23.18,0.0,121.6,17.4,6.7,105.64000000000001,77.85,14,26.77
23.18,0.0,121.6,17.4,6.7,105.64000000000001,77.85,28,33.73
23.18,0.0,121.6,17.4,6.7,105.64000000000001,77.85,56,42.7
23.18,0.0,121.6,17.4,6.7,105.64000000000001,77.85,100,45.84
25.14,0.0,118.3,18.85,5.8,102.84,75.77000000000001,3,17.22
25.14,0.0,118.3,18.85,5.8,102.84,75.77000000000001,14,29.93
25.14,0.0,118.3,18.85,5.8,102.84,75.77000000000001,28,29.65
25.14,0.0,118.3,18.85,5.8,102.84,75.77000000000001,56,36.97
25.14,0.0,118.3,18.85,5.8,102.84,75.77000000000001,100,43.58
25.14,0.0,118.3,18.85,6.4,102.84,75.77000000000001,3,13.12
25.14,0.0,118.3,18.85,6.4,102.84,75.77000000000001,14,24.43
25.14,0.0,118.3,18.85,6.4,102.84,75.77000000000001,28,32.66
25.14,0.0,118.3,18.85,6.4,102.84,75.77000000000001,56,36.64
25.14,0.0,118.3,18.85,6.4,102.84,75.77000000000001,100,44.21
18.14,0.0,167.0,16.96,7.6,105.55999999999999,77.78,3,13.62
18.14,0.0,167.0,16.96,7.6,105.55999999999999,77.78,14,21.6
18.14,0.0,167.0,16.96,7.6,105.55999999999999,77.78,28,27.77
18.14,0.0,167.0,16.96,7.6,105.55999999999999,77.78,56,35.57
18.14,0.0,167.0,16.96,7.6,105.55999999999999,77.78,100,45.37
18.2,45.2,122.0,17.02,8.2,105.94000000000001,78.07000000000001,3,7.32
18.2,45.2,122.0,17.02,8.2,105.94000000000001,78.07000000000001,14,21.5
18.2,45.2,122.0,17.02,8.2,105.94000000000001,78.07000000000001,28,31.27
18.2,45.2,122.0,17.02,8.2,105.94000000000001,78.07000000000001,56,43.5
18.2,45.2,122.0,17.02,8.2,105.94000000000001,78.07000000000001,100,48.67
16.89,42.2,124.3,15.830000000000002,10.8,108.08,79.62,3,7.4
16.89,42.2,124.3,15.830000000000002,10.8,108.08,79.62,14,23.51
16.89,42.2,124.3,15.830000000000002,10.8,108.08,79.62,28,31.12
16.89,42.2,124.3,15.830000000000002,10.8,108.08,79.62,56,39.15
16.89,42.2,124.3,15.830000000000002,10.8,108.08,79.62,100,48.15
29.04,0.0,96.2,16.81,9.4,96.12,86.5,3,22.5
29.04,0.0,96.2,16.81,9.4,96.12,86.5,14,34.67
29.04,0.0,96.2,16.81,9.4,96.12,86.5,28,34.74
29.04,0.0,96.2,16.81,9.4,96.12,86.5,56,45.08
29.04,0.0,96.2,16.81,9.4,96.12,86.5,100,48.97
27.71,0.0,97.4,16.06,11.8,97.39,87.56,3,23.14
27.71,0.0,97.4,16.06,11.8,97.39,87.56,14,41.89
